name,model_family,train_rows,test_rows,seasons,accuracy,f1_weighted,log_loss_proxy,recency_half_life,params
last_8_logistic_regression_l2_recency_8,logistic_regression,2812,228,"['1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.4546996448944506,0.9608659129730934,8.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_8_random_forest_regularized,random_forest,2812,228,"['1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5043859649122807,0.4463080778870253,0.9730171765727089,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_8_random_forest_regularized_recency_1,random_forest,2812,228,"['1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.4573606525538939,0.9730616803988343,1.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_8_random_forest_regularized_recency_2,random_forest,2812,228,"['1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5087719298245614,0.4441740567770373,0.9723460513324803,2.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_8_random_forest_regularized_recency_4,random_forest,2812,228,"['1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.4868421052631579,0.418417839470471,0.9743043485505756,4.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_8_random_forest_regularized_recency_8,random_forest,2812,228,"['1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.44691682767289737,0.97307446087708,8.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_10_logistic_regression_l2,logistic_regression,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.43871748336358135,0.9725375785845898,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_10_logistic_regression_l2_recency_1,logistic_regression,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5394736842105263,0.49560522775611704,0.9498401921196427,1.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_10_logistic_regression_l2_recency_2,logistic_regression,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5,0.4312987329434698,0.9544170153901618,2.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_10_logistic_regression_l2_recency_4,logistic_regression,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5219298245614035,0.45145820729985886,0.9617731288163295,4.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_10_logistic_regression_l2_recency_8,logistic_regression,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5263157894736842,0.45226196596529744,0.9668253839085371,8.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_10_random_forest_regularized,random_forest,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5087719298245614,0.45159891987129047,0.9765469863143177,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_10_random_forest_regularized_recency_1,random_forest,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5,0.4387745465252082,0.9678941758323928,1.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_10_random_forest_regularized_recency_2,random_forest,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.4581310790286156,0.9725372346908189,2.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_10_random_forest_regularized_recency_4,random_forest,3572,228,"['1617', '1718', '1819', '1920', '2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.44861833659887845,0.9688307272632242,4.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
