name,model_name,feature_set,train_window,train_seasons,recency_half_life,train_rows,validation_rows,test_rows,feature_count,decision_threshold,validation_accuracy,validation_balanced_accuracy,validation_f1_weighted,validation_roc_auc,validation_brier_score,validation_selection_metric,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,test_log_loss,test_brier_score,test_selection_metric,majority_class_rate,baseline_accuracy_delta,notes
home_win_form_market_elo_last_4_histgb_l2_002_recency_1p0,histgb_l2_002,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,62,0.30999999999999994,0.7296137339055794,0.7304312509230542,0.7297532289666715,0.7634765913454438,0.2113857463324499,0.7402431497563137,0.5789473684210527,0.5789473684210527,0.5681818181818182,0.6758233302554633,0.6977466474424125,0.24042943492249977,0.6063953244354907,0.5,0.07894736842105265,
home_win_market_only_last_4_logistic_l2_c03_recency_1p0,logistic_l2_c03,market_only,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,14,0.4699999999999999,0.721030042918455,0.7226406734603457,0.721030042918455,0.7806084773297888,0.18940220679951358,0.739789420039895,0.6052631578947368,0.6052631578947368,0.5962855119225624,0.6782086795937212,0.6386955712516568,0.2257003955247009,0.625800167508606,0.5,0.10526315789473684,
home_win_all_features_last_4_histgb_l2_002_recency_none,histgb_l2_002,all_features,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,118,0.25999999999999995,0.7253218884120172,0.7279574656623837,0.7249169376356822,0.7683503175306454,0.21493813591816116,0.739619242018857,0.5745614035087719,0.5745614035087719,0.5440282044409624,0.6898276392736225,0.6821537104590898,0.23608057253937478,0.6045612943780556,0.5,0.07456140350877194,
home_win_form_market_elo_last_4_extra_trees_depth8_recency_4p0,extra_trees_depth8,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,62,0.43999999999999995,0.7167381974248928,0.722197607443509,0.7137442197608256,0.7830453404223897,0.19174915029838138,0.7391839191847708,0.5921052631578947,0.5921052631578947,0.575571969014592,0.6868267159125885,0.6228304834663547,0.2174464155319801,0.6180417048628075,0.5,0.09210526315789469,
home_win_all_features_last_2_extra_trees_depth8_recency_none,extra_trees_depth8,all_features,last_2,"['2425', '2526']",,532,96,228,118,0.43999999999999995,0.71875,0.7247826086956521,0.7136476085761408,0.7760869565217392,0.19314794170522775,0.7385036630255516,0.5877192982456141,0.587719298245614,0.5783426457857873,0.6965989535241612,0.6244810631948681,0.21826396150666177,0.6189766969602042,0.5,0.08771929824561409,
home_win_market_only_last_4_logistic_l2_c03_recency_none,logistic_l2_c03,market_only,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,14,0.43999999999999995,0.7167381974248928,0.7197607443509082,0.716080177750769,0.7820853640525771,0.18968100676008742,0.737906045271388,0.5921052631578947,0.5921052631578947,0.5784744448641235,0.6804401354262851,0.6333027877851355,0.2233060369759735,0.6165611020943461,0.5,0.09210526315789469,
home_win_market_only_last_4_logistic_l2_c03_recency_4p0,logistic_l2_c03,market_only,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,14,0.4499999999999999,0.7167381974248928,0.7193546005021414,0.7163205919367973,0.7823807413971349,0.1893755707819211,0.7378073414858378,0.6008771929824561,0.6008771929824561,0.5888472742405326,0.6793628808864266,0.635124241727488,0.2241500809473058,0.6226184115423588,0.5,0.10087719298245612,
home_win_compact_last_4_logistic_l2_c03_recency_2p0,logistic_l2_c03,compact,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,37,0.4499999999999999,0.7167381974248928,0.7217914635947422,0.7142412970910824,0.7783931472456064,0.19190438544062083,0.7376394437144524,0.5964912280701754,0.5964912280701755,0.5725116165321595,0.6893659587565405,0.6388827619055877,0.22611603417369627,0.6207567055453826,0.5,0.0964912280701754,
home_win_all_features_last_4_extra_trees_depth8_recency_none,extra_trees_depth8,all_features,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,118,0.42999999999999994,0.7124463519313304,0.7185053906365382,0.7085663417371505,0.784153005464481,0.19113380312139264,0.736708817750013,0.5921052631578947,0.5921052631578947,0.5798109505974675,0.6922129886118805,0.6263995204025691,0.21823157591069525,0.6202934339100263,0.5,0.09210526315789469,
home_win_compact_last_4_histgb_l2_002_recency_none,histgb_l2_002,compact,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,37,0.4599999999999999,0.7253218884120172,0.7218653079308817,0.7235304204063561,0.7703441146064097,0.203061659308266,0.7366587168048613,0.6271929824561403,0.6271929824561404,0.6218905472636816,0.6941366574330563,0.6769995658997467,0.236407057550279,0.6464807196703464,0.5,0.1271929824561403,
