target,task_type,model_name,train_rows,test_rows,target_rate,minority_class_rate,majority_class_rate,accuracy,balanced_accuracy,f1_weighted,roc_auc,log_loss,brier_score,mae,rmse,r2,baseline_metric,baseline_accuracy_delta,selection_metric,decision_threshold,imbalance_flag,actionable_target,rare_event_policy,notes
match_result_1x2,classification,extra_trees,5852,228,,0.23684210526315788,0.5,0.4780701754385965,0.4852176738141651,0.49131721297473757,0.666308750551515,1.0228737951828917,,,,,0.5,-0.02192982456140352,0.540459927709456,,False,True,model_candidate,Does not beat majority-class accuracy baseline.
home_win,classification,extra_trees,5852,228,0.5,0.5,0.5,0.6359649122807017,0.6359649122807017,0.6225391443103621,0.6829793782702369,0.6297879434967211,0.22017775724861086,,,,0.5,0.13596491228070173,0.6480553868820114,0.5399999999999999,False,True,model_candidate,
draw,classification,extra_trees,5852,228,0.23684210526315788,0.23684210526315788,0.7631578947368421,0.5657894736842105,0.6261174968071519,0.5962559323707086,0.6623031077054066,0.668782257467944,0.23922027364171222,,,,0.7631578947368421,-0.19736842105263164,0.6324939454111618,0.5299999999999999,False,True,model_candidate,Does not beat majority-class accuracy baseline.
away_win,classification,extra_trees,5852,228,0.2631578947368421,0.2631578947368421,0.7368421052631579,0.6885964912280702,0.6011904761904762,0.6894185012302559,0.6610119047619047,0.6250541429133166,0.2188668218975955,,,,0.7368421052631579,-0.04824561403508765,0.6323711085178717,0.5399999999999999,False,True,model_candidate,Does not beat majority-class accuracy baseline.
home_or_draw_double_chance,classification,extra_trees,5852,228,0.7368421052631579,0.2631578947368421,0.7368421052631579,0.6885964912280702,0.6011904761904762,0.6894185012302559,0.6610119047619047,0.6250541429133166,0.21886682189759604,,,,0.7368421052631579,-0.04824561403508765,0.6323711085178717,0.4599999999999999,False,True,model_candidate,Does not beat majority-class accuracy baseline.
away_or_draw_double_chance,classification,extra_trees,5852,228,0.5,0.5,0.5,0.6359649122807017,0.6359649122807017,0.6225391443103621,0.682979378270237,0.6297879434967211,0.22017775724861108,,,,0.5,0.13596491228070173,0.6480553868820114,0.4599999999999999,False,True,model_candidate,
over_0_5_goals,classification,hist_gradient_boosting,5852,228,0.9649122807017544,0.03508771929824561,0.9649122807017544,0.9210526315789473,0.5977272727272727,0.9312724626816309,0.6818181818181819,0.19369457021874487,0.04703182475510745,,,,0.9649122807017544,-0.04385964912280704,0.5720383753555442,0.6699999999999999,True,False,audit_only_low_minority_support,"Imbalanced target; model selected by balanced metrics and tuned threshold, not raw accuracy. Audit-only target: minority support is 8 rows (3.5%) in the temporal test split. Does not beat majority-class accuracy baseline."
over_1_5_goals,classification,extra_trees,5852,228,0.7982456140350878,0.20175438596491227,0.7982456140350878,0.5701754385964912,0.5683229813664596,0.6125398463478959,0.5870759675107502,0.6806360595082459,0.24417025900060543,,,,0.7982456140350878,-0.22807017543859653,0.5805814069569624,0.4799999999999999,False,True,model_candidate,Does not beat majority-class accuracy baseline.
over_2_5_goals,classification,extra_trees,5852,228,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5526315789473685,0.5513888888888889,0.5526315789473685,0.5780092592592593,0.6934954070226003,0.25008115647120027,,,,0.5263157894736842,0.026315789473684292,0.5595614035087719,0.4499999999999999,False,True,model_candidate,
over_3_5_goals,classification,hist_gradient_boosting,5852,228,0.2631578947368421,0.2631578947368421,0.7368421052631579,0.6359649122807017,0.5601190476190476,0.6450882343851407,0.5909722222222222,0.6268501256460983,0.2181297086255893,,,,0.7368421052631579,-0.10087719298245612,0.5821203780149139,0.4599999999999999,False,True,model_candidate,Does not beat majority-class accuracy baseline.
